제목,링크,썸네일,높이,폭
남자 와이드 청바지 허리밴딩 세미 연청바지 데님 팬츠 스판 빅사이즈 (3color) : 아트샵7,http://shop1.phinf.naver.net/20240413_126/1712943057592H9Rud_JPEG/114078956293942555_1846385880.jpg,https://search.pstatic.net/common/?type=b150&src=http://shop1.phinf.naver.net/20240413_126/1712943057592H9Rud_JPEG/114078956293942555_1846385880.jpg,860,860
트렌드 스타일 남성 청바지 실용적인 인기 있는 남성 : 탄베시프,http://shop1.phinf.naver.net/20240619_217/17187905591601jgPX_JPEG/34382216990075676_1331893344.jpg,https://search.pstatic.net/common/?type=b150&src=http://shop1.phinf.naver.net/20240619_217/17187905591601jgPX_JPEG/34382216990075676_1331893344.jpg,1000,750
B 엣지애 남성 허리신축성 원턱 청바지 MCPF4IN8101,http://shopping.phinf.naver.net/main_5085599/50855997105.20241015195628.jpg,https://search.pstatic.net/common/?type=b150&src=http://shopping.phinf.naver.net/main_5085599/50855997105.20241015195628.jpg,720,720
흑청바지 남자와이드청바지 반밴딩청바지 : 현인몰,http://shop1.phinf.naver.net/20240818_235/1723981589003JEHpG_JPEG/57454457804643802_400614866.jpg,https://search.pstatic.net/common/?type=b150&src=http://shop1.phinf.naver.net/20240818_235/1723981589003JEHpG_JPEG/57454457804643802_400614866.jpg,1870,1870
여성 보이핏 배기 밴딩 가을 청바지 : 금빛옷장,http://shop1.phinf.naver.net/20230926_145/1695714033539KO0ev_JPEG/13717700333930674_519508605.jpg,https://search.pstatic.net/common/?type=b150&src=http://shop1.phinf.naver.net/20230926_145/1695714033539KO0ev_JPEG/13717700333930674_519508605.jpg,1000,1000
여름 얇은 키 작은 청바지 8부 남자 8부 바지 일자핏 트렌드에 잘 어울리는 남자 여름 : 미르포춘,https://shop-phinf.pstatic.net/20240918_13/1726607429089mG7pr_JPEG/9682893893989115_2111899611.jpg,https://search.pstatic.net/common/?type=b150&src=https://shop-phinf.pstatic.net/20240918_13/1726607429089mG7pr_JPEG/9682893893989115_2111899611.jpg,1200,900
데일리 롱 데님 와이드 청바지 : 비욘드미,http://shop1.phinf.naver.net/20230905_211/1693891395689rwGKT_JPEG/18232424490253504_404130549.jpg,https://search.pstatic.net/common/?type=b150&src=http://shop1.phinf.naver.net/20230905_211/1693891395689rwGKT_JPEG/18232424490253504_404130549.jpg,1000,1000
하이웨스트 와이드 청바지 155cm 키작녀청바지 데님 스판 뒷밴딩 블랙진 통청바지 : 마켓소이,http://shop1.phinf.naver.net/20241012_181/1728719618764cTfSl_JPEG/26907236761311867_418232661.jpg,https://search.pstatic.net/common/?type=b150&src=http://shop1.phinf.naver.net/20241012_181/1728719618764cTfSl_JPEG/26907236761311867_418232661.jpg,1000,1000
[하프클럽/빌리버스]빌리버스 남자 청바지 와이드 데님 팬츠 BHL003... 빌리버스]빌리버스 남자 청바지 와이드 데님 팬츠 BHL003 남성 바지,https://cdn.011st.com/11dims/resize/600x600/quality/75/11src/product/4310250588/B.jpg?943000000,https://search.pstatic.net/sunny/?type=b150&src=https://cdn.011st.com/11dims/resize/600x600/quality/75/11src/product/4310250588/B.jpg?943000000,600,600
1+1 겨울 기모 사방 스판 작업복 작업 편한 데님 청바지 : J무역,http://shop1.phinf.naver.net/20241112_224/1731391286263M7qh9_PNG/46907774592556487_1342536927.png,https://search.pstatic.net/common/?type=b150&src=http://shop1.phinf.naver.net/20241112_224/1731391286263M7qh9_PNG/46907774592556487_1342536927.png,1000,1000
AD 남자 3컬러 겨울 기모 스판짱 청바지 : 피롯,http://shop1.phinf.naver.net/20231103_135/1698991688824WCXBR_JPEG/13319793704041390_900196635.JPG,https://search.pstatic.net/common/?type=b150&src=http://shop1.phinf.naver.net/20231103_135/1698991688824WCXBR_JPEG/13319793704041390_900196635.JPG,2999,2363
바지  청바지 컬렉션 팬츠  기본템  세련된  인기 있는  클래식한 : 레디이스,https://shop-phinf.pstatic.net/20240704_199/1720033088259j2WpL_JPEG/30195936086331030_209015073.jpg,https://search.pstatic.net/common/?type=b150&src=https://shop-phinf.pstatic.net/20240704_199/1720033088259j2WpL_JPEG/30195936086331030_209015073.jpg,1000,750
30 피스워커 청바지 | 헬로마켓,https://ccimg.hellomarket.com/images/2024/item/11/05/09/4200405_3665511_1.jpg?size=s6,https://search.pstatic.net/sunny/?type=b150&src=https://ccimg.hellomarket.com/images/2024/item/11/05/09/4200405_3665511_1.jpg?size=s6,480,480
AA-0209 / 여자여성 허리밴딩 고무줄 스키니청바지 : 토보shop,https://shop-phinf.pstatic.net/20240820_252/1724121880530X4La7_JPEG/6200073003624977_1598068814.jpeg,https://search.pstatic.net/common/?type=b150&src=https://shop-phinf.pstatic.net/20240820_252/1724121880530X4La7_JPEG/6200073003624977_1598068814.jpeg,601,601
퓨레 컬러 청바지 세련된 데이트 편안한 패션 레트로 : 게네트릭,https://shop-phinf.pstatic.net/20240824_241/1724430733368nfdfv_JPEG/31742336194058274_677509969.jpg,https://search.pstatic.net/common/?type=b150&src=https://shop-phinf.pstatic.net/20240824_241/1724430733368nfdfv_JPEG/31742336194058274_677509969.jpg,800,800
남자 남성 가볍고 따뜻한 빅사이즈 데일리 기모 경량 청바지 스판 데님 WSP014 : READYFIT,http://shop1.phinf.naver.net/20241016_103/1729045427067lwNqd_JPEG/8620790927135270_301091692.jpg,https://search.pstatic.net/common/?type=b150&src=http://shop1.phinf.naver.net/20241016_103/1729045427067lwNqd_JPEG/8620790927135270_301091692.jpg,1000,1000
Lee 청바지 (30) | 헬로마켓,https://ccimg.hellomarket.com/images/2024/item/11/07/18/2436781_2812110_1.jpg?size=s6,https://search.pstatic.net/sunny/?type=b150&src=https://ccimg.hellomarket.com/images/2024/item/11/07/18/2436781_2812110_1.jpg?size=s6,960,720
편안한 청바지 팬츠 신상 코디 트렌디한 여성 : 사누곤드,https://shop-phinf.pstatic.net/20240824_38/1724435705039PghyA_JPEG/10284785575906315_1286850175.jpg,https://search.pstatic.net/common/?type=b150&src=https://shop-phinf.pstatic.net/20240824_38/1724435705039PghyA_JPEG/10284785575906315_1286850175.jpg,1200,900
뱅뱅 뱅뱅 남녀무지스키니스판청바지 NQF756,http://shopping.phinf.naver.net/main_5015497/50154972539.20240904215142.jpg,https://search.pstatic.net/common/?type=b150&src=http://shopping.phinf.naver.net/main_5015497/50154972539.20240904215142.jpg,600,600
지센 ZISHEN 코튼스판 슬림핏 청바지 IN LCDPM424,http://shopping.phinf.naver.net/main_4678616/46786162066.4.20240712041405.jpg,https://search.pstatic.net/common/?type=b150&src=http://shopping.phinf.naver.net/main_4678616/46786162066.4.20240712041405.jpg,1500,1500
Mcikkny 남성 힙합 찢어진 청바지 Cmaouflage 패치 워크 스트레치 데님 Streetwear Slim Fit : moonse69,http://shop1.phinf.naver.net/20241110_99/1731190419111hne9g_JPEG/65323213515827252_1507148831.jpg,https://search.pstatic.net/common/?type=b150&src=http://shop1.phinf.naver.net/20241110_99/1731190419111hne9g_JPEG/65323213515827252_1507148831.jpg,600,600
앞포켓 청바지 | 무신사 추천 브랜드,https://image.msscdn.net/thumbnails/images/goods_img/20240228/3912113/3912113_17091201348922_big.png?w=780,https://search.pstatic.net/sunny/?type=b150&src=https://image.msscdn.net/thumbnails/images/goods_img/20240228/3912113/3912113_17091201348922_big.png?w=780,936,780
자라 여성청바지 29 진스센스 | 세컨웨어(헬로마켓),https://ccimg.hellomarket.com/images/2024/item/09/18/15/2714941_4163530_1.jpg?size=s6,https://search.pstatic.net/sunny/?type=b150&src=https://ccimg.hellomarket.com/images/2024/item/09/18/15/2714941_4163530_1.jpg?size=s6,960,960
꽃중년 청바지 스판 작업복 데님 팬츠 편한 블랙진 30,http://shopping.phinf.naver.net/main_4827689/48276893248.20240607175346.jpg,https://search.pstatic.net/common/?type=b150&src=http://shopping.phinf.naver.net/main_4827689/48276893248.20240607175346.jpg,1000,1000
뱅뱅 뱅뱅 뱅뱅 남녀공용 구제 테이퍼드 스판 청바지 NQI664,http://shopping.phinf.naver.net/main_5034168/50341681426.20240917052429.jpg,https://search.pstatic.net/common/?type=b150&src=http://shopping.phinf.naver.net/main_5034168/50341681426.20240917052429.jpg,1000,1000
[무배] 사방스판 하이웨스트 일자핏 청바지 : 걸에이치,http://shop1.phinf.naver.net/20210204_110/1612414509867qV8Wt_JPEG/13550352574523140_283344516.jpg,https://search.pstatic.net/common/?type=b150&src=http://shop1.phinf.naver.net/20210204_110/1612414509867qV8Wt_JPEG/13550352574523140_283344516.jpg,1440,1440
뱅뱅 뱅뱅칠곡 HC09 공용 쿨 레귤러청바지 밑위긴 쿨스판 청바지 허리밴딩 편한 여름청바지,http://shopping.phinf.naver.net/main_4902227/49022272364.20240709233019.jpg,https://search.pstatic.net/common/?type=b150&src=http://shopping.phinf.naver.net/main_4902227/49022272364.20240709233019.jpg,700,700
MOJI 남자 일자 와이드 청바지 허리밴딩 팬츠 진청 연청 흑청 블랙 청바지 : MOJI seoul,http://shop1.phinf.naver.net/20241011_259/17285778321840CEKM_JPEG/8153196051510947_2031436545.jpg,https://search.pstatic.net/common/?type=b150&src=http://shop1.phinf.naver.net/20241011_259/17285778321840CEKM_JPEG/8153196051510947_2031436545.jpg,2561,2503
신상 코디 기본템 의류 청바지 아이템 : 다벤저드,https://shop-phinf.pstatic.net/20240706_255/17202111015070RvPq_JPEG/13115571152067700_1385550754.jpg,https://search.pstatic.net/common/?type=b150&src=https://shop-phinf.pstatic.net/20240706_255/17202111015070RvPq_JPEG/13115571152067700_1385550754.jpg,800,800
45번가 청바지(gs반값택포) | 한남동 | 여성의류 | 당근 중고거래,https://img.kr.gcp-karroter.net/origin/article/202409/d7a16950ef68a64ce5542343ee3df39a7ba0a7ccc3d3f58348c633cd0a343d2d_0.webp?f=webp&q=95&s=1440x1440&t=inside,https://search.pstatic.net/sunny/?type=b150&src=https://img.kr.gcp-karroter.net/origin/article/202409/d7a16950ef68a64ce5542343ee3df39a7ba0a7ccc3d3f58348c633cd0a343d2d_0.webp?f=webp&q=95&s=1440x1440&t=inside,1170,540
슬림일자청바지 심플 스판 데님 팬츠 379 : 리즈데님,http://shop1.phinf.naver.net/20220805_9/1659671074719tfW5o_JPEG/60806973400063492_1679500625.jpg,https://search.pstatic.net/common/?type=b150&src=http://shop1.phinf.naver.net/20220805_9/1659671074719tfW5o_JPEG/60806973400063492_1679500625.jpg,1440,1080
가우리 가우리 프리미엄 중년 남성 청바지 CRO 스판 청바지 324 325 30,http://shopping.phinf.naver.net/main_5093224/50932246153.20241019205911.jpg,https://search.pstatic.net/common/?type=b150&src=http://shopping.phinf.naver.net/main_5093224/50932246153.20241019205911.jpg,500,500
누디진 청바지 32 | 헬로마켓,https://ccimg.hellomarket.com/images/2024/item/06/24/05/3314656_2382879_1.jpg?size=s6,https://search.pstatic.net/sunny/?type=b150&src=https://ccimg.hellomarket.com/images/2024/item/06/24/05/3314656_2382879_1.jpg?size=s6,960,720
여자 고허리 청바지 핏이좋은 다양한 코디 무난한 : 유에리고,https://shop-phinf.pstatic.net/20240706_300/1720205062000EuoEu_JPEG/30367909819686314_210512307.jpg,https://search.pstatic.net/common/?type=b150&src=https://shop-phinf.pstatic.net/20240706_300/1720205062000EuoEu_JPEG/30367909819686314_210512307.jpg,1000,750
패션 남성용 조깅 청바지 코디 운동 해변 통기성 : 설청이난,http://shop1.phinf.naver.net/20240615_231/1718428242521M4aKY_JPEG/37925921329385369_1927578690.jpg,https://search.pstatic.net/common/?type=b150&src=http://shop1.phinf.naver.net/20240615_231/1718428242521M4aKY_JPEG/37925921329385369_1927578690.jpg,1000,750
남자 청바지 데님 팬츠 남자 와이드 청바지 진청,http://shopping.phinf.naver.net/main_4999295/49992955738.20240828122246.jpg,https://search.pstatic.net/common/?type=b150&src=http://shopping.phinf.naver.net/main_4999295/49992955738.20240828122246.jpg,2827,2827
구디프 남성용 캐주얼 롱 청바지 36,http://shopping.phinf.naver.net/main_4849030/48490304764.20240616200013.jpg,https://search.pstatic.net/common/?type=b150&src=http://shopping.phinf.naver.net/main_4849030/48490304764.20240616200013.jpg,500,500
인기 있는 세련된 남자 기모 청바지 베이직한 남성 심플한 : 플레져러,https://shop-phinf.pstatic.net/20240824_129/1724430385014TG9pV_JPEG/11114249143012514_517621847.jpg,https://search.pstatic.net/common/?type=b150&src=https://shop-phinf.pstatic.net/20240824_129/1724430385014TG9pV_JPEG/11114249143012514_517621847.jpg,1000,750
타임 여성 청바지 사이즈67-98 | 개포4동 | 여성의류 | 당근 중고거래,https://dnvefa72aowie.cloudfront.net/origin/article/202402/888648923a015d6f4fe9b65ddafb24e9c9b47726368a16deeef71d692781114d_0.webp?f=webp&q=95&s=1440x1440&t=inside,https://search.pstatic.net/sunny/?type=b150&src=https://dnvefa72aowie.cloudfront.net/origin/article/202402/888648923a015d6f4fe9b65ddafb24e9c9b47726368a16deeef71d692781114d_0.webp?f=webp&q=95&s=1440x1440&t=inside,1000,618
롤업 청바지 | 신길동 | 여성의류 | 당근 중고거래,https://dnvefa72aowie.cloudfront.net/origin/article/202407/5b5019ab5865d433d103f9ab5d0000f7e65c07863dd80baf80b8e843c1cd5e4b_4.webp?f=webp&q=95&s=1440x1440&t=inside,https://search.pstatic.net/sunny/?type=b150&src=https://dnvefa72aowie.cloudfront.net/origin/article/202407/5b5019ab5865d433d103f9ab5d0000f7e65c07863dd80baf80b8e843c1cd5e4b_4.webp?f=webp&q=95&s=1440x1440&t=inside,972,640
(노컷진6탄) 기모 세미와이드 청바지 5컬러 : 포레스트핏,http://shop1.phinf.naver.net/20241101_166/1730448974706k7jc8_JPEG/64581809848199724_753789907.jpg,https://search.pstatic.net/common/?type=b150&src=http://shop1.phinf.naver.net/20241101_166/1730448974706k7jc8_JPEG/64581809848199724_753789907.jpg,1000,750
제이로드 제이로드 남성 9부 슬림 스판 일자 찢어진 남자청바지 진청 S FT115945-11,http://shopping.phinf.naver.net/main_5144997/51449977560.20241117201206.jpg,https://search.pstatic.net/common/?type=b150&src=http://shopping.phinf.naver.net/main_5144997/51449977560.20241117201206.jpg,500,500
장롱 남자 와이드 청바지 세미 연청바지 데님 팬츠 스판,http://shopping.phinf.naver.net/main_3940370/39403706738.20230415165208.jpg,https://search.pstatic.net/common/?type=b150&src=http://shopping.phinf.naver.net/main_3940370/39403706738.20230415165208.jpg,1000,750
큰청바지 일자와이드 스판 워싱 연 청바지 : 큰옷 빅보스,http://shop1.phinf.naver.net/20241104_157/1730704393718RF7pX_JPEG/5268213825876998_801810723.jpg,https://search.pstatic.net/common/?type=b150&src=http://shop1.phinf.naver.net/20241104_157/1730704393718RF7pX_JPEG/5268213825876998_801810723.jpg,1489,1063
클래식한 남성 러닝 청바지 실용적인 휴가 해변 코디 : 솔저나인,http://shop1.phinf.naver.net/20240606_288/1717612337223motaw_JPEG/35388978864695134_437949597.jpg,https://search.pstatic.net/common/?type=b150&src=http://shop1.phinf.naver.net/20240606_288/1717612337223motaw_JPEG/35388978864695134_437949597.jpg,800,800
스타일 남자 기모 청바지 일상적인 남성 세련된 코디 : 한국센터,https://shop-phinf.pstatic.net/20240706_138/1720211962467waCNz_JPEG/44167787300989893_50288215.jpg,https://search.pstatic.net/common/?type=b150&src=https://shop-phinf.pstatic.net/20240706_138/1720211962467waCNz_JPEG/44167787300989893_50288215.jpg,1000,750
청바지 | 당근 중고거래,https://dnvefa72aowie.cloudfront.net/origin/article/202405/babc446fd9ad1db76224555df85acae2b064f4e16464088bee9e7c2f09639a66.jpg?f=webp&q=95&s=1440x1440&t=inside,https://search.pstatic.net/sunny/?type=b150&src=https://dnvefa72aowie.cloudfront.net/origin/article/202405/babc446fd9ad1db76224555df85acae2b064f4e16464088bee9e7c2f09639a66.jpg?f=webp&q=95&s=1440x1440&t=inside,1280,720
쥬엔리치 남성 기모 청바지 중년 스트레이트 겨울 팬츠 JR88 34 라이트,http://shopping.phinf.naver.net/main_5109884/51098840360.20241029220245.jpg,https://search.pstatic.net/common/?type=b150&src=http://shopping.phinf.naver.net/main_5109884/51098840360.20241029220245.jpg,1000,1000
독특한 여친룩 편안한 코디 파스텔 와이드 청바지 레트로 : 무늬징거,http://shop1.phinf.naver.net/20240617_148/17185850083593Xs7k_JPEG/3862275207257832_886560342.jpg,https://search.pstatic.net/common/?type=b150&src=http://shop1.phinf.naver.net/20240617_148/17185850083593Xs7k_JPEG/3862275207257832_886560342.jpg,800,800
스 슬림 남성 청바지 2024 신상 여름 얇은 중년 아빠 루즈핏 일자 하이웨스트 남바지 : 서베를린,https://shop-phinf.pstatic.net/20240823_185/1724344709308hdOvK_JPEG/55952738218919321_1255925700.jpg,https://search.pstatic.net/common/?type=b150&src=https://shop-phinf.pstatic.net/20240823_185/1724344709308hdOvK_JPEG/55952738218919321_1255925700.jpg,1000,750
밴딩 청바지 여춘추 루즈핏 날씬해 는 중년 여바지 하이웨스트 스판 여성 봄 아빠 바지 : 멜로디월드1,https://shop-phinf.pstatic.net/20240716_218/1721060519672hw05x_JPEG/27817884066967627_696832233.jpg,https://search.pstatic.net/common/?type=b150&src=https://shop-phinf.pstatic.net/20240716_218/1721060519672hw05x_JPEG/27817884066967627_696832233.jpg,800,800
남성청바지 비즈니스 와이드 스판 기모 일자 청바지 OP1 dom1 : 르브아시,http://shop1.phinf.naver.net/20240425_158/1714036332116lOHKM_JPEG/730925983427280_468680210.jpeg,https://search.pstatic.net/common/?type=b150&src=http://shop1.phinf.naver.net/20240425_158/1714036332116lOHKM_JPEG/730925983427280_468680210.jpeg,500,500
몽드 워싱 데님 팬츠남성일자핏 청바지 남자 MPS20124,http://shopping.phinf.naver.net/main_5020022/50200228739.20240907000900.jpg,https://search.pstatic.net/common/?type=b150&src=http://shopping.phinf.naver.net/main_5020022/50200228739.20240907000900.jpg,500,500
인기 있는 착용감 일상룩 남자용 가을 겨울 청바지 기본템 멋진 : 티푸스드,https://shop-phinf.pstatic.net/20240705_18/1720123897790odiBB_JPEG/1854212631714021_1862538164.jpg,https://search.pstatic.net/common/?type=b150&src=https://shop-phinf.pstatic.net/20240705_18/1720123897790odiBB_JPEG/1854212631714021_1862538164.jpg,1200,900
지센 여성 로고 자수 슬림핏 청바지 | 녹번동 | 여성의류 | 당근 중고거래,https://dnvefa72aowie.cloudfront.net/origin/article/202210/5bc476078f09d81dd9a0a6c019a71a8b0203d40386d12ce40116e0297d8c0ac9.webp?f=webp&q=95&s=1440x1440&t=inside,https://search.pstatic.net/sunny/?type=b150&src=https://dnvefa72aowie.cloudfront.net/origin/article/202210/5bc476078f09d81dd9a0a6c019a71a8b0203d40386d12ce40116e0297d8c0ac9.webp?f=webp&q=95&s=1440x1440&t=inside,1440,1080
도밍고 워싱 데님 밴딩 일자청바지 : 슈가미미,http://shop1.phinf.naver.net/20241025_9/1729861817980oCRhD_JPEG/48164472780409348_1824320791.jpg,https://search.pstatic.net/common/?type=b150&src=http://shop1.phinf.naver.net/20241025_9/1729861817980oCRhD_JPEG/48164472780409348_1824320791.jpg,1280,960
코디 허리 높은 청바지 레이어링 일상룩 신상 데님 : 휴덴로유,http://shop1.phinf.naver.net/20240427_190/1714160325255SIoXx_JPEG/380296144990548_988668578.jpg,https://search.pstatic.net/common/?type=b150&src=http://shop1.phinf.naver.net/20240427_190/1714160325255SIoXx_JPEG/380296144990548_988668578.jpg,1000,750
지오지아 남자 데님 세미 와이드 기본 4계절 청바지 팬츠,http://shopping.phinf.naver.net/main_4690504/46905047713.2.20240407210126.jpg,https://search.pstatic.net/common/?type=b150&src=http://shopping.phinf.naver.net/main_4690504/46905047713.2.20240407210126.jpg,1000,1000
남친룩 여름 남성 여름 청바지 디자인 세련된 하의 : 프레스토1,http://shop1.phinf.naver.net/20240606_228/1717613236925j3661_JPEG/37110915639147839_541087701.jpg,https://search.pstatic.net/common/?type=b150&src=http://shop1.phinf.naver.net/20240606_228/1717613236925j3661_JPEG/37110915639147839_541087701.jpg,800,800
유니클로 청바지 32인치 일자핏 구제청바지 블루디(008) : 블루디,http://shop1.phinf.naver.net/20240928_183/17275234837456BGSO_JPEG/48148412779236050_1173729093.jpg,https://search.pstatic.net/common/?type=b150&src=http://shop1.phinf.naver.net/20240928_183/17275234837456BGSO_JPEG/48148412779236050_1173729093.jpg,438,438
스타일 트렌드 의류 남성 코디 남성용 하이웨이스트 청바지 : 사다라니,https://shop-phinf.pstatic.net/20240706_12/1720212728923i8aUU_JPEG/1344109920368804_1535812005.jpg,https://search.pstatic.net/common/?type=b150&src=https://shop-phinf.pstatic.net/20240706_12/1720212728923i8aUU_JPEG/1344109920368804_1535812005.jpg,800,800
외출 레트로 디자인 유니크한 여성 찢어진 청바지 포인트 : 세덴이저,https://shop-phinf.pstatic.net/20240927_101/1727415298238PjNmY_JPEG/9432385088511943_555127583.jpg,https://search.pstatic.net/common/?type=b150&src=https://shop-phinf.pstatic.net/20240927_101/1727415298238PjNmY_JPEG/9432385088511943_555127583.jpg,1200,900
여성청바지  여성용 다이아몬드 자수 부드러운 일자 청바지 MOC : 해솔515,https://shop-phinf.pstatic.net/20240527_149/1716808240246G4SgN_PNG/3874214508667529_741174668.png,https://search.pstatic.net/common/?type=b150&src=https://shop-phinf.pstatic.net/20240527_149/1716808240246G4SgN_PNG/3874214508667529_741174668.png,1000,1000
3컬러 스판 기모 데님 남자 블랙진 겨울 청바지 빈티지 워싱 : 허벅스,http://shop1.phinf.naver.net/20221116_95/1668586832915tID0P_JPEG/29547765827750348_1045067954.jpg,https://search.pstatic.net/common/?type=b150&src=http://shop1.phinf.naver.net/20221116_95/1668586832915tID0P_JPEG/29547765827750348_1045067954.jpg,500,500
디자이어로즈 남자 대학생 세미와이드청바지,http://shopping.phinf.naver.net/main_5096179/50961799357.20241022000934.jpg,https://search.pstatic.net/common/?type=b150&src=http://shopping.phinf.naver.net/main_5096179/50961799357.20241022000934.jpg,600,600
데님 남성용 슬림 신축성 바지 데일리 청바지 에디션 데님 퀄리티 캐주얼 다목적 하이 심플,http://shopping.phinf.naver.net/main_5009750/50097507728.20240901172240.jpg,https://search.pstatic.net/common/?type=b150&src=http://shopping.phinf.naver.net/main_5009750/50097507728.20240901172240.jpg,600,600
남성 여름 청바지 인기 있는 기본템 스타일 트렌드 패션 : 둔덕마루,http://shop1.phinf.naver.net/20240428_267/1714237971334qJa7i_JPEG/20131263159762548_1935311578.jpg,https://search.pstatic.net/common/?type=b150&src=http://shop1.phinf.naver.net/20240428_267/1714237971334qJa7i_JPEG/20131263159762548_1935311578.jpg,800,800
남성청바지 순면 직장 청바지 엘리트 하이웨스트 가을 클래식 워킹 MF3,http://shopping.phinf.naver.net/main_5069097/50690976984.20241006004622.jpg,https://search.pstatic.net/common/?type=b150&src=http://shopping.phinf.naver.net/main_5069097/50690976984.20241006004622.jpg,1000,1000
스트레이트 크롭 청바지 여성 하이 웨이스트 부츠컷 : 친구집엔있어,http://shop1.phinf.naver.net/20240411_72/1712845349730G0r4L_JPEG/26912413737291137_1907495970.jpeg,https://search.pstatic.net/common/?type=b150&src=http://shop1.phinf.naver.net/20240411_72/1712845349730G0r4L_JPEG/26912413737291137_1907495970.jpeg,1000,666
빅사이즈 청바지 남자 통통바지 봄가을 통통바지 통바지 허리밴딩 라이트블루 워싱 : 비순다롬,https://shop-phinf.pstatic.net/20240709_214/1720458530024bcG8t_JPEG/9839889842789384_415828704.jpg,https://search.pstatic.net/common/?type=b150&src=https://shop-phinf.pstatic.net/20240709_214/1720458530024bcG8t_JPEG/9839889842789384_415828704.jpg,1200,900
허리밴딩 청바지 남성 봄가을 고급스러운 남성 캐주얼 긴바지 슬림 스트레이트 트렌드 남성 바지 촌지 : 사크가트,https://shop-phinf.pstatic.net/20240926_283/1727335053500LFEas_JPEG/56426224760036563_2094395213.jpg,https://search.pstatic.net/common/?type=b150&src=https://shop-phinf.pstatic.net/20240926_283/1727335053500LFEas_JPEG/56426224760036563_2094395213.jpg,1200,900
여성 바지 데일리 일자핏 와이드 청바지 데님팬츠 SJU023 - SSG.COM,https://sitem.ssgcdn.com/80/44/65/item/1000625654480_i3_500.jpg,https://search.pstatic.net/sunny/?type=b150&src=https://sitem.ssgcdn.com/80/44/65/item/1000625654480_i3_500.jpg,500,500
여자 기모 청바지 여성 겨울 기모 데님팬츠 HK-000007641 : HIPKIDS,http://shop1.phinf.naver.net/20200106_299/157830178932171IW9_JPEG/1bk3f9g_201915155212756.jpg,https://search.pstatic.net/common/?type=b150&src=http://shop1.phinf.naver.net/20200106_299/157830178932171IW9_JPEG/1bk3f9g_201915155212756.jpg,430,430
